guid,titulo,bytes
133c42cd-db9f-44a9-8000-4ae4eb27c024,"Reporte Informativo ASFI al 02/04/2026",139478
4196d38f-a109-46b5-afc4-f774c0de995f,"Reporte Informativo ASFI al 01/04/2026",254804
a87ebc43-cf09-4a38-8176-97dfa1342d81,"Reporte Informativo ASFI al 31/03/2026",171714
225ffa89-8fb0-4610-96b2-7993463cf48b,"Reporte Informativo ASFI al 30/03/2026",202931
7f507c12-1671-48ab-b455-48dfda407e71,"Reporte Informativo ASFI al 27/03/2026",214285
f9cd8c77-1055-4921-bed8-a8b737f03326,"Reporte Informativo ASFI al 26/03/2026",164481
470075a2-f9cb-46a0-88f3-6c7b10eaa51f,"Reporte Informativo ASFI al 25/03/2026",150450
d175da49-4223-46b5-94ee-90afe5a43cd0,"Reporte Informativo ASFI al 24/03/2026",222453
7d4d607b-1c88-46c2-aaf7-4cc22ee92f0f,"Reporte Informativo ASFI al 23/03/2026",183090
d445ac36-cc32-45ed-b157-9bfec932475f,"Reporte Informativo ASFI al 20/03/2026",156021
c3a18b2d-8682-4193-b60b-883be07c9778,"Reporte Informativo ASFI al 19/03/2026",161324
3c0c08ce-14e3-401a-93f6-47d6e3a61a50,"Reporte Informativo ASFI al 18/03/2026",160597
3f012f77-5156-4fd5-be2d-bd84b30c7ca6,"Reporte Informativo ASFI al 17/03/2026",199811
18305461-f37b-49e5-bd34-0055abe637ec,"Reporte Informativo ASFI al 16/03/2026",167388
fe156a49-5ae3-4e23-8236-965301bbe6ad,"Reporte Informativo ASFI al 13/03/2026",152004
cc8efbcd-604e-4bb4-8207-3ac5484e60ae,"Reporte Informativo ASFI al 12/03/2026",139743
442e1e33-c26e-4cc6-9873-10484150bd39,"Reporte Informativo ASFI al 11/03/2026",155325
7c494bcf-8943-4094-b1fe-043804dca137,"Reporte Informativo ASFI al 10/03/2026",121835
3ba322d8-88be-49ac-ad8b-9479e956742e,"Reporte Informativo ASFI al 09/03/2026",203325
